TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
SAC,SAC @ HOU,2022-03-30,W,12,17,5,21,23.8,1,7,14.3,6,10,60.0,4,9,13,2,4,4,3,4,2,0
POR,POR vs. NOP,2022-03-30,L,12,25,11,20,55.0,2,8,25.0,1,1,100.0,1,7,8,10,5,2,0,8,-7,1
PHX,PHX @ GSW,2022-03-30,W,12,30,10,22,45.5,1,3,33.3,9,10,90.0,3,9,12,4,2,1,0,10,2,0
ORL,ORL @ WAS,2022-03-30,L,12,31,10,21,47.6,3,7,42.9,8,9,88.9,2,4,6,3,4,3,1,7,-10,0
OKC,OKC vs. ATL,2022-03-30,L,12,29,10,20,50.0,1,6,16.7,8,10,80.0,3,10,13,6,4,1,0,3,8,1
NYK,NYK vs. CHA,2022-03-30,L,12,31,11,21,52.4,3,11,27.3,6,9,66.7,1,6,7,5,4,2,0,6,-3,1
NOP,NOP @ POR,2022-03-30,W,12,32,11,20,55.0,3,6,50.0,7,9,77.8,4,5,9,9,3,3,2,2,7,0
MIN,MIN @ TOR,2022-03-30,L,12,20,7,23,30.4,3,15,20.0,3,5,60.0,1,6,7,5,4,6,0,5,-8,0
MIA,MIA @ BOS,2022-03-30,W,12,27,8,18,44.4,2,8,25.0,9,13,69.2,1,13,14,6,3,2,3,5,12,0
MEM,MEM @ SAS,2022-03-30,W,12,19,7,22,31.8,3,10,30.0,2,2,100.0,6,6,12,4,4,1,0,6,-6,0
IND,IND vs. DEN,2022-03-30,L,12,27,8,23,34.8,2,11,18.2,9,11,81.8,4,1,5,4,0,3,0,9,-7,1
HOU,HOU vs. SAC,2022-03-30,L,12,15,6,23,26.1,2,11,18.2,1,1,100.0,5,14,19,4,9,3,1,12,-2,1
GSW,GSW vs. PHX,2022-03-30,L,12,28,6,18,33.3,1,10,10.0,15,17,88.2,3,8,11,5,4,1,1,7,-2,1
DEN,DEN @ IND,2022-03-30,W,12,34,12,18,66.7,2,5,40.0,8,9,88.9,4,13,17,7,7,0,1,9,7,0
DAL,DAL @ CLE,2022-03-30,W,12,20,8,22,36.4,3,11,27.3,1,2,50.0,4,7,11,5,5,1,1,5,-3,0
CLE,CLE vs. DAL,2022-03-30,L,12,23,7,17,41.2,1,4,25.0,8,8,100.0,2,9,11,4,5,4,1,3,3,1
